"Language","original","English","French","German","Russian","Spanish","Italian","Polish","Czech","Hungarian","Chinese","Japanese","Portuguese","Korean"
"STR_BBM_BACK","BACK","BACK","RETOUR","ZURÜCK","НАЗАД","ATRÁS","INDIETRO","WSTECZ","ZPĚT","VISSZA","返回","戻る","VOLTAR","뒤로"
"STR_BBM_RUINED","RUINED","RUINED","DÉTRUIT","ZERSTÖRT","РАЗРУШЕНО","DESTRUIDO","DISTRUTTO","ZNISZCZONY","ZNIČENO","TÖNKREMENT","已损毁","破壊","DESTRUÍDO","파괴됨"
"STR_BBM_OK","OK","OK","OK","OK","ОК","OK","OK","OK","OK","OK","正常","正常","OK","정상"
"STR_BBM_COL_NAME","Name","Name","Nom","Name","Имя","Nombre","Nome","Nazwa","Název","Név","名称","名前","Nome","이름"
"STR_BBM_COL_POS","Position","Position","Position","Position","Позиция","Posición","Posizione","Pozycja","Pozice","Pozíció","位置","位置","Posição","위치"
"STR_BBM_COL_HEALTH","Health","Health","Santé","Zustand","Прочность","Salud","Salute","Zdrowie","Zdraví","Állapot","耐久","耐久値","Saúde","내구도"
"STR_BBM_COL_STATE","State","State","État","Status","Состояние","Estado","Stato","Stan","Stav","Állapot","状态","状態","Estado","상태"
"STR_BBM_COL_LIFE","Disparition","Disparition","Disparition","Disparition","Disparition","Disparition","Disparition","Disparition","Disparition","Disparition","Disparition","Disparition","Disparition","Disparition"
"STR_BBM_LIFETIME_MAX","Durée","Durée","Durée","Durée","Durée","Durée","Durée","Durée","Durée","Durée","Durée","Durée","Durée","Durée"
"STR_BBM_DAYS_SHORT","d","d","j","T","дн","d","g","dni","dní","nap","天","日","d","일"
"STR_BBM_TP_SHORT","TP","TP","TP","TP","ТП","TP","TP","TP","TP","TP","传送","TP","TP","전송"
"STR_BBM_HEALTH_AVG","Santé","Santé","Santé","Santé","Santé","Santé","Santé","Santé","Santé","Santé","Santé","Santé","Santé","Santé"
"STR_BBM_REMAINING","Left","Left","Reste","Rest","Ост.","Resta","Resta","Zostało","Zbývá","Hátra","剩余","残り","Resta","남음"
