"Language","original","English","French","German","Russian","Spanish","Italian","Polish","Czech","Hungarian","Chinese","Japanese","Portuguese","Korean"
"STR_GKFM_CAUSE_FIREARM","Firearm","Firearm","Arme à feu","Schusswaffe","Огнестрел","Arma de fuego","Arma da fuoco","Broń palna","Střelná zbraň","Lőfegyver","枪械","銃器","Arma de fogo","총기"
"STR_GKFM_CAUSE_MELEE","Melee","Melee","Corps à corps","Nahkampf","Ближний бой","Cuerpo a cuerpo","Mischia","Walka wręcz","Zblízka","Közelharc","近战","近接","Corpo a corpo","근접"
"STR_GKFM_CAUSE_BAREHANDS","Bare hands","Bare hands","Mains nues","Bloße Hände","Голые руки","Manos desnudas","Mani nude","Gołe ręce","Holé ruce","Puszta kéz","徒手","素手","Mãos nuas","맨손"
"STR_GKFM_CAUSE_GRENADE","Grenade","Grenade","Grenade","Granate","Граната","Granada","Granata","Granat","Granát","Gránát","手榴弹","手榴弾","Granada","수류탄"
"STR_GKFM_CAUSE_TRAP","Trap","Trap","Piège","Falle","Ловушка","Trampa","Trappola","Pułapka","Past","Csapda","陷阱","罠","Armadilha","함정"
"STR_GKFM_CAUSE_EXPLOSIVE","Explosive","Explosive","Explosif","Sprengstoff","Взрывчатка","Explosivo","Esplosivo","Materiał wybuchowy","Výbušnina","Robbanóanyag","爆炸物","爆発物","Explosivo","폭발물"
"STR_GKFM_CAUSE_VEHICLE","Vehicle","Vehicle","Véhicule","Fahrzeug","Транспорт","Vehículo","Veicolo","Pojazd","Vozidlo","Jármű","车辆","車両","Veículo","차량"
"STR_GKFM_SHOW_KILLER","Show killer","Show killer","Afficher le tireur","Töter anzeigen","Показать убийцу","Mostrar asesino","Mostra uccisore","Pokaż zabójcę","Zobrazit zabijáka","Gyilkos megjelenítése","显示击杀者","キラーを表示","Mostrar assassino","가해자 표시"
"STR_GKFM_HIDE_KILLER","Hide killer","Hide killer","Masquer le tireur","Töter ausblenden","Скрыть убийцу","Ocultar asesino","Nascondi uccisore","Ukryj zabójcę","Skrýt zabijáka","Gyilkos elrejtése","隐藏击杀者","キラーを隠す","Ocultar assassino","가해자 숨기기"
"STR_GKFM_CLEAN_SCENES","Clean scenes","Clean scenes","Nettoyer les scènes","Szenen aufräumen","Очистить сцены","Limpiar escenas","Pulisci scene","Wyczyść sceny","Vyčistit scény","Jelenetek törlése","清理场景","シーンをクリア","Limpar cenas","장면 정리"
